Name,Gender,GP,MIN,PTS,DR,OR,REB,AST,STL,BLK,BLKON,FOUL,FOULON,TO,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%
Kate Bond,Female,1,9,0,1,0,1,1,0,0,0,0,0,1,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0
Kate Caulfield,Female,37,743,199,93,51,144,59,28,8,20,86,69,88,74,243,30.5,73,240,30.4,1,3,33.3,50,81,61.7
Kate Coffey,Female,3,29,8,7,3,10,1,0,0,1,3,2,2,3,17,17.6,3,16,18.8,0,1,0.0,2,2,100.0
Kate Cohen,Female,65,2325,680,226,59,285,302,124,45,6,176,116,243,245,783,31.3,186,512,36.3,59,271,21.8,131,214,61.2
Kate Cronan,Female,10,233,58,26,9,35,12,12,3,0,12,0,37,30,113,26.5,28,95,29.5,2,18,11.1,0,0,0.0
Kate Dipasquale,Female,25,357,53,36,17,53,28,19,3,0,47,0,89,22,113,19.5,21,103,20.4,1,10,10.0,10,20,50.0
Kate Ebzery,Female,81,1233,367,174,94,268,36,53,30,20,166,155,111,105,294,35.7,94,251,37.5,11,43,25.6,126,242,52.1
Kate Fayle,Female,52,1162,266,99,71,170,65,39,3,20,109,125,157,79,245,32.2,76,220,34.5,3,25,12.0,83,139,59.7
Kate Fitt,Female,17,304,90,36,33,69,13,7,5,0,39,0,28,31,87,35.6,31,86,36.0,0,1,0.0,28,71,39.4
Kate Fitzgerald,Female,128,2581,600,208,117,325,106,71,50,12,240,87,315,210,677,31.0,175,528,33.1,35,149,23.5,145,242,59.9
Kate Foster,Female,5,32,8,4,4,8,3,1,0,0,3,2,4,4,7,57.1,4,7,57.1,0,0,0.0,0,2,0.0
Kate Godfrey,Female,18,289,66,39,20,59,11,11,2,0,38,0,41,23,94,24.5,19,76,25.0,4,18,22.2,16,34,47.1
Kate Gurney,Female,25,388,139,34,41,75,9,6,17,0,31,0,61,56,135,41.5,56,133,42.1,0,2,0.0,27,43,62.8
Kate Hogan,Female,101,2599,491,335,139,474,272,103,58,11,320,117,303,195,574,34.0,173,478,36.2,22,96,22.9,95,181,52.5
Kate Hore,Female,69,1745,622,218,116,334,111,99,28,29,136,204,133,234,797,29.4,228,715,31.9,6,82,7.3,148,258,57.4
Kate Ioannou,Female,13,173,39,29,20,49,6,3,8,4,26,20,17,14,39,35.9,14,39,35.9,0,0,0.0,11,23,47.8
Kate Johnston,Female,5,125,69,28,18,46,1,6,1,0,12,0,11,29,65,44.6,29,63,46.0,0,2,0.0,11,20,55.0
Kate Judd,Female,51,970,145,85,42,127,48,55,6,0,80,0,120,66,226,29.2,51,163,31.3,15,63,23.8,28,64,43.8
Kate Kerrigan,Female,65,1363,238,181,90,271,58,89,10,30,139,106,169,84,341,24.6,78,283,27.6,6,58,10.3,54,133,40.6
