Name,Gender,GP,MIN,PTS,DR,OR,REB,AST,STL,BLK,BLKON,FOUL,FOULON,TO,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%
Jane Chalmers,Female,10,43.1,12.53,3.9,1.32,5.22,4.87,2.71,0.14,0.0,2.85,0.0,4.45,4.73,14.69,0.322,4.59,13.09,0.351,0.14,1.6,0.088,3.2,4.52,0.708
Jared Swanson,Male,49,44.69,21.72,6.62,2.83,9.45,2.07,1.4,0.25,0.21,2.37,1.82,2.85,8.67,20.18,0.43,8.51,19.31,0.441,0.16,0.88,0.182,4.21,6.37,0.661
Jason Pepper,Male,28,43.25,17.96,5.28,2.28,7.55,2.23,2.57,0.4,0.0,2.65,0.0,3.54,7.88,15.61,0.505,7.26,13.6,0.534,0.62,2.0,0.31,2.82,4.46,0.632
Jay Allen,Male,17,41.76,14.5,1.95,0.8,2.74,2.92,1.57,0.25,0.0,1.52,0.0,2.7,7.18,20.29,0.354,5.07,13.99,0.362,2.11,6.29,0.335,2.24,3.21,0.698
Jeff Reid,Male,20,43.85,16.49,3.39,1.33,4.72,3.25,1.81,0.03,0.0,2.36,0.0,2.39,5.61,14.4,0.39,2.7,5.99,0.451,2.91,8.42,0.346,2.36,3.35,0.704
Jeremy Marsh,Male,16,42.88,13.38,4.81,2.06,6.86,2.06,1.57,0.97,0.0,2.23,0.0,3.28,4.94,11.24,0.44,4.33,9.58,0.452,0.62,1.67,0.371,2.88,3.98,0.724
John Constance,Male,22,45.36,11.69,2.49,0.99,3.49,3.37,1.65,0.12,0.0,1.75,0.0,1.92,6.13,17.1,0.358,4.6,11.79,0.39,1.53,5.32,0.288,0.96,1.36,0.706
John Morris,Male,16,42.25,15.49,5.24,0.98,6.21,1.42,0.58,0.27,0.53,2.35,2.66,3.33,5.72,14.95,0.383,3.59,8.03,0.447,2.13,6.92,0.308,1.91,3.24,0.59
Jonathon Lee,Male,46,43.07,12.01,2.5,0.79,3.29,3.36,1.71,0.09,0.0,1.99,0.0,3.03,4.83,13.25,0.365,4.26,10.81,0.394,0.58,2.44,0.238,2.35,3.71,0.633
Jordan Hill,Male,8,43.25,17.26,4.94,0.52,5.47,2.86,1.04,0.26,0.0,2.77,0.0,2.25,6.24,14.22,0.439,3.12,6.07,0.514,3.12,8.15,0.383,1.65,2.43,0.679
Josh Smith,Male,22,42.0,18.47,3.74,1.2,4.94,2.63,1.14,0.06,0.0,1.75,0.0,3.11,6.04,16.66,0.363,4.03,9.35,0.431,2.01,7.31,0.275,4.39,6.24,0.704
Kevin Benn,Male,23,42.78,14.73,7.59,4.66,12.26,1.25,0.49,0.58,0.64,2.83,4.24,3.51,6.19,10.15,0.61,6.19,10.12,0.612,0.0,0.03,0.0,2.35,5.0,0.47
Kevin Probert,Male,2,45.5,14.84,2.64,0.66,3.3,3.63,2.97,0.33,0.0,1.98,0.0,2.97,3.96,10.55,0.375,2.64,5.6,0.471,1.32,4.95,0.267,5.6,7.91,0.708
Lee Jeka,Male,22,45.14,20.51,3.26,1.33,4.59,3.29,1.24,0.06,0.0,1.03,0.0,3.14,9.03,20.99,0.43,7.07,15.32,0.461,1.96,5.68,0.345,3.2,4.38,0.731
Luke Cooper,Male,10,42.4,10.83,2.69,1.13,3.82,6.23,1.77,0.07,0.0,1.34,0.0,3.75,3.61,8.07,0.447,2.97,5.38,0.552,0.64,2.69,0.238,2.97,4.74,0.627
Luke Goldstein,Male,1,42.0,18.57,10.0,2.14,12.14,1.43,0.0,0.0,0.0,4.29,0.0,2.86,7.14,13.57,0.526,7.14,13.57,0.526,0.0,0.0,,4.29,8.57,0.501
Luke Mcmillan,Male,44,42.73,20.44,5.22,1.87,7.08,1.4,0.29,1.05,0.32,1.87,2.23,1.93,7.51,14.58,0.515,6.51,11.84,0.55,1.0,2.75,0.364,4.4,5.84,0.753
Marcus Johnson,Male,24,42.88,17.06,2.83,0.73,3.55,1.78,1.08,0.29,0.0,1.95,0.0,3.18,6.42,13.12,0.489,5.39,9.91,0.544,1.02,3.2,0.319,3.2,4.37,0.732
Matthew Gange,Male,26,43.19,16.75,4.22,1.58,5.8,2.14,1.26,0.22,0.0,1.52,0.0,2.4,5.96,13.23,0.45,3.74,7.74,0.483,2.22,5.47,0.406,2.62,3.5,0.749
Michelle Betson,Female,20,42.05,12.02,3.53,1.61,5.14,1.68,1.82,0.07,0.0,3.03,0.0,3.28,4.6,13.06,0.352,4.07,10.34,0.394,0.54,2.71,0.199,3.35,5.46,0.614
Mick Hill,Male,43,43.86,23.83,4.43,1.37,5.79,4.12,1.42,0.16,0.0,2.39,0.0,3.43,9.94,21.24,0.468,7.92,15.77,0.502,2.02,5.47,0.369,4.09,5.36,0.763
Mike Spears,Male,22,43.0,16.68,5.83,3.14,8.97,1.36,1.43,1.78,0.0,2.44,0.0,1.97,6.75,14.18,0.476,6.66,13.73,0.485,0.1,0.45,0.222,3.08,4.28,0.72
Mitchell Creek,Male,2,43.5,21.72,6.21,4.83,11.03,3.1,0.69,0.69,0.69,2.41,5.17,4.48,9.31,15.86,0.587,9.31,15.52,0.6,0.0,0.34,0.0,3.1,6.55,0.473
Nathan Crosswell,Male,21,44.38,17.25,2.77,0.71,3.47,5.06,1.42,0.03,0.0,1.61,0.0,2.96,6.73,14.26,0.472,6.08,12.24,0.497,0.64,2.03,0.315,4.44,5.44,0.816
Nathan Sellwood,Male,27,44.56,18.65,3.02,1.32,4.34,3.32,1.39,0.03,0.0,1.05,0.0,2.3,8.11,19.57,0.414,6.53,15.36,0.425,1.57,4.21,0.373,4.01,5.31,0.755
Nathan Taylor,Male,12,44.0,11.3,4.72,1.53,6.25,1.31,0.34,0.46,0.0,2.05,0.0,1.99,4.09,8.86,0.462,3.01,5.51,0.546,1.08,3.35,0.322,2.05,2.84,0.722
Nicole Pavic,Female,19,43.63,20.88,7.82,3.73,11.54,1.66,1.38,1.95,0.0,1.88,0.0,2.14,8.47,23.49,0.361,7.74,21.21,0.365,0.72,2.28,0.316,4.67,7.2,0.649
Patrick Jennings,Male,10,42.3,8.87,2.77,1.06,3.83,2.06,1.13,0.07,0.0,1.84,0.0,1.99,2.91,8.87,0.328,1.77,3.83,0.462,1.13,5.04,0.224,1.91,3.19,0.599
Paul Fridman,Male,21,45.57,9.75,2.85,0.75,3.61,6.18,2.85,0.19,0.0,2.19,0.0,4.48,4.89,16.14,0.303,3.2,9.87,0.324,1.69,6.27,0.27,1.66,2.32,0.716
Peter Leimonitis,Male,18,41.89,18.46,4.06,1.83,5.89,3.02,1.71,0.48,0.0,2.51,0.0,4.34,9.03,20.37,0.443,6.6,14.56,0.453,2.43,5.81,0.418,2.82,3.34,0.844
Sam Belt,Male,22,44.32,18.4,6.0,2.03,8.03,2.25,0.74,0.52,0.64,1.54,2.8,1.91,5.91,14.65,0.403,2.61,5.66,0.461,3.29,8.98,0.366,3.29,4.62,0.712
Scott Dixon,Male,17,43.0,12.93,4.39,2.3,6.69,1.72,1.11,0.53,0.0,1.89,0.0,2.46,4.31,10.96,0.393,2.67,6.45,0.414,1.64,4.51,0.364,2.67,4.31,0.619
Scott Roberts,Male,50,42.26,14.01,6.39,2.46,8.85,1.77,0.7,1.83,0.0,2.6,0.0,2.58,5.58,11.44,0.488,5.42,10.96,0.495,0.16,0.48,0.333,2.81,4.19,0.671
Sean Mccall,Male,2,45.0,20.33,6.0,3.0,9.0,1.33,2.33,1.0,0.0,2.33,0.0,4.0,7.33,16.67,0.44,6.33,12.0,0.528,1.0,4.67,0.214,4.67,7.67,0.609
