Name,Club Name,Competition Name,Equivalent Competition,Level,Gender,Season,Factor,GP,MIN,PTS,DR,OR,REB,AST,STL,BLK,BLKON,FOUL,FOULON,TO,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%
Lindsay Van Schalkwyk,Knox,VBL Premier Men,Division 1 Men,Senior,Male,2003,0.833333333333333,20,40.8,13.4,6.9,2.4,9.3,2.1,0.4,0.7,0.0,2.8,0.0,2.6,5.1,13.3,38.3,5.0,12.6,39.7,0.1,0.7,14.3,3.2,5.0,64.0
Matt O'Hea,Melbourne,SCM 2008,Championship Men,Senior,Male,2008,0.833333333333333,24,40.8,11.3,3.6,1.0,4.6,2.9,1.3,0.2,0.1,2.2,1.8,1.6,3.9,9.5,41.1,2.1,5.0,42.0,1.8,4.6,39.1,1.6,1.9,84.2
Marc Goodwin,Latrobe City,YL2M 2007,Youth League 1 Men,Youth,Male,2007,0.833333333333333,18,40.7,15.9,4.7,0.9,5.7,1.9,1.8,0.5,0.0,2.6,0.0,2.7,5.5,14.1,39.0,3.5,7.8,44.9,2.1,6.3,33.3,2.9,4.9,59.2
Davin Sgargetta,La Trobe University,VBL Division One Men Championship,Division 2 Men,Senior,Male,2004,0.833333333333333,23,40.7,11.0,2.7,0.4,3.2,1.5,0.7,0.1,0.0,2.5,0.0,3.6,5.7,16.4,34.8,3.8,10.8,35.2,2.0,5.5,36.4,1.5,2.1,71.4
Mike Spears,Hume City,SCM 2004,Championship Men,Senior,Male,2004,0.833333333333333,25,40.7,18.6,6.0,3.0,9.0,0.9,1.4,2.1,0.0,2.2,0.0,1.6,7.5,13.7,54.7,7.4,13.4,55.2,0.1,0.3,33.3,3.8,5.3,71.7
Jason Harcoan,McKinnon,VBL Division 1 Men,Division 2 Men,Senior,Male,2003,0.833333333333333,15,40.7,16.9,2.3,0.7,3.0,1.0,0.7,0.2,0.0,1.7,0.0,2.4,8.0,19.0,42.1,6.1,14.3,42.7,1.8,4.7,38.3,2.8,3.6,77.8
Curtis Small,Wyndham,SCM 2008,Championship Men,Senior,Male,2008,0.833333333333333,20,40.6,16.7,1.8,0.6,2.4,1.7,0.9,0.1,0.4,2.1,1.8,2.4,6.2,15.9,39.0,3.8,8.7,43.7,2.4,7.2,33.3,1.8,2.0,90.0
Michael Santo,Warragul,VBL Division 1 Men,Division 2 Men,Senior,Male,2003,0.833333333333333,23,40.6,22.9,4.1,1.0,5.1,3.6,2.0,0.4,0.0,2.6,0.0,3.7,10.5,26.9,39.0,7.5,18.4,40.8,3.0,8.6,34.9,4.9,6.2,79.0
Luke Neilson,Sandringham,VBL Men Premier (Reserve),Victorian Youth Championship Men,Youth,Male,2004,0.833333333333333,15,40.6,14.6,4.1,1.5,5.5,3.3,1.4,0.1,0.0,1.3,0.0,2.1,7.1,17.4,40.8,5.5,12.8,43.0,1.6,4.5,35.6,2.0,3.0,66.7
Trevor Smyth,Diamond Valley,YL1M 2006,Victorian Youth Championship Men,Youth,Male,2006,0.833333333333333,22,40.6,12.5,5.8,3.0,8.7,1.3,1.0,0.8,0.0,2.3,0.0,1.6,5.2,9.8,53.1,5.2,9.8,53.1,0.0,0.0,0.0,2.1,3.9,53.8
Michael Czepil,Wyndham,YL1M 2005,Victorian Youth Championship Men,Youth,Male,2005,0.833333333333333,21,40.6,24.4,3.3,2.4,5.6,2.7,1.9,0.1,0.0,2.3,0.0,3.3,8.2,18.0,45.6,6.3,12.3,51.2,1.9,5.7,33.3,6.0,7.5,80.0
