Name,Club Name,Competition Name,Equivalent Competition,Level,Gender,Season,Factor,GP,MIN,PTS,DR,OR,REB,AST,STL,BLK,BLKON,FOUL,FOULON,TO,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%
Cameron Bruce,Horsham,Division Two Men,Division 2 Men,Senior,Male,2009,0.833333333,23,42.39,9.57,2.19,0.55,2.74,3.57,2.12,0.09,0.25,1.78,2.99,2.22,3.54,7.54,0.469,2.89,5.26,0.549,0.64,2.28,0.281,1.85,3.84,0.482
Adam Dixon,Sherbrooke,Division One Men,Division 1 Men,Senior,Male,2006,0.833333333,21,42.38,18.98,3.33,1.72,5.05,2.49,1.34,0.84,0.0,1.92,0.0,2.26,6.81,13.35,0.51,6.27,11.43,0.549,0.54,1.92,0.281,4.82,6.3,0.765
Tim Pickert,Horsham,Division Two Men,Division 2 Men,Senior,Male,2009,0.833333333,24,42.38,15.78,2.1,1.18,3.27,2.27,1.09,0.15,0.35,1.89,3.36,2.24,5.28,12.98,0.407,3.45,7.16,0.482,1.83,5.81,0.315,3.39,4.52,0.75
Thomas Burns,McKinnon,VBL Division One Men Championship,Division 2 Men,Senior,Male,2004,0.833333333,21,42.33,17.28,3.41,1.01,4.42,3.58,1.49,0.27,0.0,1.79,0.0,2.93,6.01,14.38,0.418,5.33,12.01,0.444,0.67,2.36,0.284,5.94,7.73,0.768
James Tsun,Maccabi,D2M 2007,Division 2 Men,Senior,Male,2007,0.833333333,19,42.32,12.13,2.46,0.6,3.06,3.32,1.42,0.11,0.0,1.68,0.0,3.66,4.4,13.24,0.332,2.65,6.3,0.421,1.75,6.94,0.252,1.57,2.65,0.592
Tommy Walsh,Western Port,Division Three Men,Division 3 Men,Senior,Male,2008,0.833333333,23,42.3,13.11,2.19,1.51,3.7,1.54,0.92,0.16,0.34,2.01,1.51,1.72,4.96,13.17,0.377,3.11,7.37,0.422,1.85,5.79,0.32,1.33,2.01,0.662
Patrick Jennings,Bendigo,YL1M 2007,Victorian Youth Championship Men,Youth,Male,2007,0.833333333,10,42.3,8.87,2.77,1.06,3.83,2.06,1.13,0.07,0.0,1.84,0.0,1.99,2.91,8.87,0.328,1.77,3.83,0.462,1.13,5.04,0.224,1.91,3.19,0.599
John Morris,Warrnambool,SCM 2008,Championship Men,Senior,Male,2008,0.833333333,16,42.25,15.49,5.24,0.98,6.21,1.42,0.58,0.27,0.53,2.35,2.66,3.33,5.72,14.95,0.383,3.59,8.03,0.447,2.13,6.92,0.308,1.91,3.24,0.59
Amanda Fenwick,Echuca,VBL Division 1 - Women,Division 2 Women,Senior,Female,2002,0.833333333,19,42.16,7.79,5.32,2.43,7.75,1.65,2.25,0.71,0.0,2.1,0.0,2.25,3.37,9.07,0.372,3.33,8.95,0.372,0.04,0.11,0.364,1.09,3.18,0.343
Willie Weimer,Ringwood,SCM 2005,Championship Men,Senior,Male,2005,0.833333333,24,42.12,12.08,3.08,1.27,4.36,2.7,0.83,0.15,0.0,2.52,0.0,3.21,4.51,11.75,0.384,2.93,6.97,0.42,1.57,4.78,0.328,1.48,2.29,0.646
