Name,Club Name,Competition Name,Equivalent Competition,Level,Gender,Season,Factor,GP,MIN,PTS,DR,OR,REB,AST,STL,BLK,BLKON,FOUL,FOULON,TO,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%
Bryan Short,Hume City,VBL Division 1 - Men,Division 2 Men,Senior,Male,2002,0.833333333,29,36.87,18.02,3.99,1.9,5.89,4.08,1.84,0.29,0.0,1.55,0.0,2.76,7.7,20.8,0.37,5.69,15.17,0.375,2.01,5.63,0.357,4.63,6.24,0.742
Bobby Cunningham,Warrnambool,SCM 2003,Championship Men,Senior,Male,2003,0.833333333,22,36.86,18.94,10.34,2.84,13.18,6.86,3.45,0.42,0.0,3.33,0.0,4.32,9.17,22.92,0.4,6.59,15.42,0.427,2.58,7.5,0.344,3.18,4.2,0.757
Daryl Corletto,Ringwood,SCM 2003,Championship Men,Senior,Male,2003,0.833333333,23,36.85,27.9,3.59,2.14,5.72,2.54,1.96,0.4,0.0,2.17,0.0,2.07,11.88,23.48,0.506,10.04,18.15,0.553,1.85,5.33,0.347,5.98,6.78,0.882
Jonathon Lee,Bulleen,SCM 2004,Championship Men,Senior,Male,2004,0.833333333,22,36.82,15.68,3.07,1.06,4.13,3.79,1.82,0.11,0.0,2.5,0.0,3.41,6.59,18.37,0.359,5.87,15.15,0.387,0.72,3.22,0.224,3.22,4.92,0.654
Mick Hill,Sherbrooke,SCM 2005,Championship Men,Senior,Male,2005,0.833333333,23,36.81,28.91,6.09,1.74,7.83,5.58,1.85,0.25,0.0,2.86,0.0,4.35,10.83,21.74,0.498,8.7,15.8,0.551,2.14,5.94,0.36,5.11,6.52,0.784
Dean Rzechta,Maccabi,VBL Premier Men,Division 1 Men,Senior,Male,2003,0.833333333,19,36.8,26.54,6.67,3.25,9.91,1.84,2.24,0.09,0.0,3.11,0.0,3.29,10.61,26.89,0.395,9.12,21.4,0.426,1.49,5.48,0.272,6.8,8.64,0.787
Glen Barlow,Latrobe City,SCM 2009,Championship Men,Senior,Male,2009,0.833333333,20,36.75,13.54,8.37,4.54,12.92,3.12,0.96,0.62,0.83,3.33,2.67,2.08,5.42,10.87,0.499,5.37,10.79,0.498,0.04,0.08,0.5,2.67,4.21,0.634
James Denton (Sk),Sherbrooke,Division One Men,Division 1 Men,Senior,Male,2009,0.833333333,24,36.74,12.57,3.23,1.18,4.41,2.74,1.46,0.17,0.62,2.36,3.19,2.15,4.48,10.94,0.41,4.17,9.55,0.437,0.31,1.39,0.223,3.3,4.41,0.748
David Barlow,Melbourne,SCM 2008,Championship Men,Senior,Male,2008,0.833333333,3,36.67,26.67,8.33,2.78,11.11,6.39,0.28,0.56,0.56,2.22,4.72,4.44,8.89,18.61,0.478,6.67,11.94,0.559,2.22,6.67,0.333,6.67,8.33,0.801
Nathan Taylor,Ringwood,SCM 2005,Championship Men,Senior,Male,2005,0.833333333,12,36.67,13.82,5.76,1.87,7.64,1.6,0.42,0.56,0.0,2.5,0.0,2.43,5.0,10.83,0.462,3.68,6.74,0.546,1.32,4.1,0.322,2.5,3.47,0.72
Jeff Reid,Latrobe City,SCM 2006,Championship Men,Senior,Male,2006,0.833333333,20,36.54,20.08,4.12,1.62,5.75,3.96,2.21,0.04,0.0,2.87,0.0,2.92,6.83,17.54,0.389,3.29,7.29,0.451,3.54,10.25,0.345,2.87,4.08,0.703
Brett Rainbow,Ringwood,SCM 2005,Championship Men,Senior,Male,2005,0.833333333,24,36.39,18.78,3.65,1.15,4.79,2.12,0.94,0.59,0.0,1.81,0.0,3.02,6.56,15.31,0.428,3.96,7.95,0.498,2.6,7.36,0.353,3.06,3.78,0.81
Nicole Pavic,Diamond Valley,VBL Division 1 - Women,Division 2 Women,Senior,Female,2002,0.833333333,19,36.36,25.31,9.47,4.52,13.99,2.02,1.67,2.37,0.0,2.28,0.0,2.59,10.26,28.46,0.361,9.39,25.7,0.365,0.88,2.76,0.319,5.66,8.73,0.648
Luke Mcmillan,Ringwood,SCM 2005,Championship Men,Senior,Male,2005,0.833333333,23,36.34,23.01,6.59,2.57,9.17,1.99,0.47,1.41,0.0,2.72,0.0,2.64,8.73,17.93,0.487,8.04,15.91,0.505,0.69,2.03,0.34,4.86,6.92,0.702
Greg Smith,Hume City,SCM 2007,Championship Men,Senior,Male,2007,0.833333333,22,36.33,13.18,4.62,1.06,5.68,5.61,1.48,0.34,0.0,2.92,0.0,2.99,4.73,11.97,0.395,3.33,6.44,0.517,1.4,5.53,0.253,2.31,3.98,0.58
Mick Hill,Sherbrooke,SCM 2004,Championship Men,Senior,Male,2004,0.833333333,20,36.25,29.17,4.58,1.58,6.17,4.37,1.58,0.12,0.0,2.96,0.0,4.0,13.58,30.62,0.444,10.75,23.12,0.465,2.83,7.5,0.377,4.83,6.54,0.739
Mitchell Creek,Horsham,Division Two Men,Division 2 Men,Senior,Male,2009,0.833333333,2,36.25,26.25,7.5,5.83,13.33,3.75,0.83,0.83,0.83,2.92,6.25,5.42,11.25,19.17,0.587,11.25,18.75,0.6,0.0,0.42,0.0,3.75,7.92,0.473
Gili Smolboard,Maccabi,D2M 2007,Division 2 Men,Senior,Male,2007,0.833333333,4,36.25,19.79,3.33,0.62,3.96,2.71,2.92,0.0,0.0,3.54,0.0,6.67,5.21,16.04,0.325,2.08,7.29,0.285,3.12,8.75,0.357,6.25,8.12,0.77
Tracy Tuesley,Whittlesea,VBL Premier - Women,Division 1 Women,Senior,Female,2002,0.833333333,2,36.25,10.42,8.75,7.92,16.67,0.0,3.33,0.42,0.0,3.75,0.0,7.5,5.0,12.5,0.4,5.0,12.08,0.414,0.0,0.42,0.0,0.42,1.67,0.251
Timothy Gainey,Warrnambool,Division One Men,Division 1 Men,Senior,Male,2009,0.833333333,15,36.22,17.89,7.39,3.39,10.78,1.56,1.72,1.89,0.72,2.78,4.0,3.39,6.56,16.28,0.403,5.0,11.89,0.421,1.56,4.39,0.355,3.22,4.56,0.706
Vashon Weaver,Latrobe City,SCM 2003,Championship Men,Senior,Male,2003,0.833333333,22,36.17,23.11,5.68,2.05,7.73,3.86,1.82,0.53,0.0,3.03,0.0,4.62,8.9,20.87,0.426,8.45,18.41,0.459,0.45,2.46,0.183,5.76,8.26,0.697
Daryl Corletto,Melbourne,SCM 2008,Championship Men,Senior,Male,2008,0.833333333,16,36.09,17.55,4.74,0.52,5.26,7.4,1.09,0.16,0.26,1.41,2.86,2.14,5.62,10.99,0.511,3.54,6.2,0.571,2.08,4.79,0.434,4.22,4.58,0.921
Jason Pepper,Shepparton,SCM 2003,Championship Men,Senior,Male,2003,0.833333333,28,36.04,21.58,6.34,2.74,9.08,2.68,3.1,0.48,0.0,3.18,0.0,4.26,9.46,18.75,0.505,8.72,16.34,0.534,0.74,2.41,0.307,3.39,5.36,0.632
Jordan Hill,Shepparton,D2M 2007,Division 2 Men,Senior,Male,2007,0.833333333,8,36.04,20.73,5.94,0.62,6.56,3.44,1.25,0.31,0.0,3.33,0.0,2.71,7.5,17.08,0.439,3.75,7.29,0.514,3.75,9.79,0.383,1.98,2.92,0.678
Bobby Cunningham,Warrnambool,SCM 2004,Championship Men,Senior,Male,2004,0.833333333,23,36.01,14.96,8.55,2.25,10.8,7.83,2.93,0.18,0.0,3.41,0.0,5.11,7.07,19.49,0.363,5.07,12.9,0.393,1.99,6.59,0.302,2.83,3.77,0.751
Matthew Gange,Mildura,Division One Men,Division 1 Men,Senior,Male,2007,0.833333333,26,35.99,20.1,5.06,1.89,6.96,2.56,1.51,0.26,0.0,1.83,0.0,2.88,7.15,15.87,0.451,4.49,9.29,0.483,2.66,6.57,0.405,3.14,4.2,0.748
Dionne Fenton,Wyndham,Championship Women 2002,Championship Women,Senior,Female,2002,0.833333333,24,35.94,14.03,7.12,4.1,11.22,0.94,1.42,1.04,0.0,2.12,0.0,3.85,5.56,13.61,0.409,5.56,13.44,0.414,0.0,0.17,0.0,2.92,5.59,0.522
Jane Chalmers,Echuca,VBL Division 1 - Women,Division 2 Women,Senior,Female,2002,0.833333333,10,35.92,15.0,4.67,1.58,6.25,5.83,3.25,0.17,0.0,3.42,0.0,5.33,5.67,17.58,0.323,5.5,15.67,0.351,0.17,1.92,0.089,3.83,5.42,0.707
Jared Swanson,Southern Peninsula,Division One Men,Division 1 Men,Senior,Male,2008,0.833333333,22,35.91,22.73,6.89,2.84,9.73,2.27,1.21,0.38,0.57,3.3,5.04,2.77,9.17,20.72,0.443,9.09,20.15,0.451,0.08,0.57,0.14,4.32,6.89,0.627
Damien Smith,Sherbrooke,SCM 2004,Championship Men,Senior,Male,2004,0.833333333,25,35.9,19.17,2.57,0.7,3.27,5.03,1.47,0.17,0.0,2.73,0.0,3.3,9.63,22.07,0.436,6.87,14.63,0.47,2.77,7.43,0.373,2.67,3.67,0.728
Vashon Weaver,Latrobe City,SCM 2006,Championship Men,Senior,Male,2006,0.833333333,15,35.89,16.22,4.83,1.94,6.78,3.56,0.89,0.22,0.0,2.33,0.0,4.33,5.89,16.0,0.368,4.28,10.06,0.425,1.61,5.94,0.271,2.83,4.5,0.629
Curtis Small,Warrnambool,SCM 2005,Championship Men,Senior,Male,2005,0.833333333,26,35.87,24.49,3.14,0.83,3.97,3.78,1.28,0.13,0.0,1.6,0.0,3.17,8.85,19.17,0.462,5.13,10.42,0.492,3.72,8.75,0.425,3.08,3.59,0.858
Mike Spears,Hume City,SCM 2006,Championship Men,Senior,Male,2006,0.833333333,22,35.83,19.92,6.97,3.75,10.72,1.63,1.7,2.12,0.0,2.92,0.0,2.35,8.07,16.93,0.477,7.95,16.4,0.485,0.11,0.53,0.208,3.67,5.11,0.718
Sharon Fedke,Echuca,VBL Division 1 - Women,Division 2 Women,Senior,Female,2002,0.833333333,23,35.83,19.89,7.28,1.52,8.8,1.27,2.17,1.12,0.0,2.75,0.0,2.43,9.31,26.99,0.345,8.01,21.81,0.367,1.3,5.18,0.251,2.57,3.33,0.772
Scott Dixon,Kilsyth,YL1M 2007,Victorian Youth Championship Men,Youth,Male,2007,0.833333333,17,35.83,15.44,5.25,2.75,7.99,2.06,1.32,0.64,0.0,2.25,0.0,2.94,5.15,13.09,0.393,3.19,7.7,0.414,1.96,5.39,0.364,3.19,5.15,0.619
Erdoan Bakal,Coburg,VBL Division One Men (Reserve),Youth League 1 Men,Youth,Male,2004,0.833333333,23,35.76,17.72,3.08,2.14,5.22,3.99,1.01,0.29,0.0,1.7,0.0,3.59,7.93,16.7,0.475,7.07,14.42,0.49,0.87,2.28,0.382,2.72,3.3,0.824
Thomas Burns,McKinnon,D2M 2005,Division 2 Men,Senior,Male,2005,0.833333333,18,35.74,17.78,4.91,1.85,6.76,4.4,1.85,0.46,0.0,2.92,0.0,4.44,6.2,14.63,0.424,5.19,11.3,0.459,1.02,3.33,0.306,4.35,6.62,0.657
Marcus Johnson,Shepparton,SCM 2005,Championship Men,Senior,Male,2005,0.833333333,24,35.73,20.31,3.37,0.87,4.24,2.12,1.28,0.35,0.0,2.33,0.0,3.78,7.64,15.62,0.489,6.42,11.81,0.544,1.22,3.82,0.319,3.82,5.21,0.733
Jeremy Marsh,Altona,Division One Men,Division 1 Men,Senior,Male,2005,0.833333333,16,35.73,15.94,5.73,2.45,8.18,2.45,1.87,1.15,0.0,2.66,0.0,3.91,5.89,13.39,0.44,5.16,11.41,0.452,0.73,1.98,0.369,3.44,4.74,0.726
Glen Barlow,Mildura,Division One Men,Division 1 Men,Senior,Male,2007,0.833333333,25,35.67,19.43,10.63,3.33,13.97,3.0,1.4,0.67,0.0,2.9,0.0,3.77,7.17,15.17,0.473,7.17,14.87,0.482,0.0,0.3,0.0,5.1,7.97,0.64
