Name,Gender,GP,MIN,PTS,DR,OR,REB,AST,STL,BLK,BLKON,FOUL,FOULON,TO,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%
Alec Mulqueeney,Male,64,8.4,2.5,1.3,0.7,2.1,0.4,0.3,0.4,0.1,1.3,1.0,0.3,0.8,2.0,40.0,0.8,1.9,42.1,0.0,0.1,0.0,0.7,1.3,53.8
Aleksandar Bandilovski,Male,1,9.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aleksandar Milivojevic,Male,99,13.8,4.7,1.7,1.0,2.6,1.0,0.3,0.1,0.2,0.9,1.0,1.0,1.9,4.3,44.2,1.8,3.6,50.0,0.1,0.7,14.3,0.6,1.2,50.0
Aleksandar Stevanovic,Male,8,10.1,0.9,0.9,1.1,2.0,0.1,0.4,0.1,0.2,0.9,0.1,0.4,0.4,2.4,16.7,0.4,2.2,18.2,0.0,0.1,0.0,0.1,0.2,50.0
Aleksandar Tomic,Male,4,5.2,1.0,0.5,0.5,1.0,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.5,2.2,22.7,0.5,1.2,41.7,0.0,1.0,0.0,0.0,0.0,0.0
Aleksandra Vasic,Female,19,17.8,2.7,3.5,1.5,4.9,0.4,0.4,0.7,0.5,1.7,1.2,2.1,1.2,4.0,30.0,1.2,4.0,30.0,0.0,0.0,0.0,0.4,0.8,50.0
Aleksandra Vucetic,Female,13,15.7,3.8,3.5,2.8,6.2,0.9,1.3,0.4,0.3,1.9,1.5,2.5,1.5,4.8,31.2,1.5,4.2,35.7,0.0,0.5,0.0,0.9,1.7,52.9
Alenander Weetra,Male,7,14.6,3.6,2.0,0.6,2.6,1.1,0.4,0.1,0.1,1.6,1.1,3.0,1.4,4.1,34.1,1.0,2.4,41.7,0.4,1.7,23.5,0.3,1.1,27.3
Alesha Wilson,Female,19,13.3,3.0,3.1,1.0,4.1,0.5,0.4,0.5,0.2,1.3,1.0,1.1,1.1,4.3,25.6,0.9,3.7,24.3,0.2,0.6,33.3,0.4,0.8,50.0
Alex Aparo,Male,22,3.4,1.5,0.4,0.5,0.8,0.0,0.1,0.0,0.1,0.3,0.4,0.2,0.6,1.0,60.0,0.5,0.7,71.4,0.1,0.3,33.3,0.2,0.4,50.0
Alex August-Leifi,Female,77,19.8,5.2,2.3,1.5,3.8,0.8,0.8,0.5,0.1,0.7,0.9,1.2,2.0,5.4,37.0,1.4,3.6,38.9,0.6,1.8,33.3,0.6,0.9,66.7
Alex Bazzucchini,Male,125,16.6,5.5,3.3,1.2,4.5,1.1,0.5,0.0,0.2,2.0,1.6,1.3,2.2,6.1,36.1,1.8,4.6,39.1,0.3,1.5,20.0,0.7,1.6,43.7
Alex Bogart-King,Male,236,25.3,13.2,4.5,2.7,7.2,1.5,1.4,0.6,0.6,3.3,2.3,3.0,5.6,10.8,51.9,5.6,10.5,53.3,0.0,0.3,0.0,1.6,2.9,55.2
Alex Bourjaili,Male,39,7.9,1.1,0.6,0.2,0.8,0.9,0.3,0.0,0.0,0.9,0.0,1.5,0.5,1.6,31.2,0.5,1.4,35.7,0.0,0.2,0.0,0.1,0.3,33.3
