Name,Gender,GP,MIN,PTS,DR,OR,REB,AST,STL,BLK,BLKON,FOUL,FOULON,TO,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%
Luke Mcmillan,Male,44,1880,1281,327,117,444,88,18,66,20,117,140,121,471,914,0.515,408,742,0.55,63,172,0.366,276,366,0.754
Marcus Johnson,Male,24,1029,585,97,25,122,61,37,10,0,67,0,109,220,450,0.489,185,340,0.544,35,110,0.318,110,150,0.733
Matthew Gange,Male,26,1123,627,158,59,217,80,47,8,0,57,0,90,223,495,0.451,140,290,0.483,83,205,0.405,98,131,0.748
Michelle Betson,Female,20,841,337,99,45,144,47,51,2,0,85,0,92,129,366,0.352,114,290,0.393,15,76,0.197,94,153,0.614
Mick Hill,Male,43,1886,1498,278,86,364,259,89,10,0,150,0,216,625,1335,0.468,498,991,0.503,127,344,0.369,257,337,0.763
Mike Spears,Male,22,946,526,184,99,283,43,45,56,0,77,0,62,213,447,0.477,210,433,0.485,3,14,0.214,97,135,0.719
Mitchell Creek,Male,2,87,63,18,14,32,9,2,2,2,7,15,13,27,46,0.587,27,45,0.6,0,1,0.0,9,19,0.474
Nathan Crosswell,Male,21,932,536,86,22,108,157,44,1,0,50,0,92,209,443,0.472,189,380,0.497,20,63,0.317,138,169,0.817
Nathan Sellwood,Male,27,1203,748,121,53,174,133,56,1,0,42,0,92,325,785,0.414,262,616,0.425,63,169,0.373,161,213,0.756
Nathan Taylor,Male,12,528,199,83,27,110,23,6,8,0,36,0,35,72,156,0.462,53,97,0.546,19,59,0.322,36,50,0.72
Nicole Pavic,Female,19,829,577,216,103,319,46,38,54,0,52,0,59,234,649,0.361,214,586,0.365,20,63,0.317,129,199,0.648
Patrick Jennings,Male,10,423,125,39,15,54,29,16,1,0,26,0,28,41,125,0.328,25,54,0.463,16,71,0.225,27,45,0.6
Paul Fridman,Male,21,957,311,91,24,115,197,91,6,0,70,0,143,156,515,0.303,102,315,0.324,54,200,0.27,53,74,0.716
Peter Leimonitis,Male,18,754,464,102,46,148,76,43,12,0,63,0,109,227,512,0.443,166,366,0.454,61,146,0.418,71,84,0.845
Sam Belt,Male,22,975,598,195,66,261,73,24,17,21,50,91,62,192,476,0.403,85,184,0.462,107,292,0.366,107,150,0.713
Scott Dixon,Male,17,731,315,107,56,163,42,27,13,0,46,0,60,105,267,0.393,65,157,0.414,40,110,0.364,65,105,0.619
Scott Roberts,Male,50,2113,987,450,173,623,125,49,129,0,183,0,182,393,806,0.488,382,772,0.495,11,34,0.324,198,295,0.671
Sean Mccall,Male,2,90,61,18,9,27,4,7,3,0,7,0,12,22,50,0.44,19,36,0.528,3,14,0.214,14,23,0.609
Sharon Fedke,Female,23,989,549,201,42,243,35,60,31,0,76,0,67,257,745,0.345,221,602,0.367,36,143,0.252,71,92,0.772
Shaun Bruce,Male,23,977,632,119,42,161,108,34,13,9,74,106,72,248,573,0.433,214,440,0.486,34,133,0.256,102,143,0.713
Taylor Bell,Male,5,209,144,38,7,45,5,3,8,0,20,0,21,51,100,0.51,34,70,0.486,17,30,0.567,25,50,0.5
Terrence Watkins,Male,24,1021,622,227,90,317,53,34,23,0,64,0,82,303,607,0.499,242,489,0.495,61,118,0.517,94,126,0.746
Thomas Burns,Male,59,2571,1308,331,102,433,345,137,24,0,172,0,295,458,1131,0.405,380,857,0.443,78,274,0.285,354,517,0.685
Tim Ireland,Male,2,84,28,6,1,7,7,4,1,0,7,0,9,9,27,0.333,9,23,0.391,0,4,0.0,10,16,0.625
Tim Pickert,Male,24,1017,535,71,40,111,77,37,5,12,64,114,76,179,440,0.407,117,243,0.481,62,197,0.315,115,153,0.752
Timothy Gainey,Male,35,1581,753,282,124,406,74,46,67,32,122,160,148,271,694,0.39,195,457,0.427,76,237,0.321,135,180,0.75
Tommy Walsh,Male,23,973,425,71,49,120,50,30,5,11,65,49,56,161,427,0.377,101,239,0.423,60,188,0.319,43,65,0.662
Tony Burke,Male,18,753,403,86,50,136,46,10,9,9,70,61,55,160,407,0.393,141,315,0.448,19,92,0.207,64,96,0.667
Tracy Tuesley,Female,2,87,25,21,19,40,0,8,1,0,9,0,18,12,30,0.4,12,29,0.414,0,1,0.0,1,4,0.25
Travis Banko,Male,20,894,504,78,34,112,92,47,2,0,56,0,146,208,502,0.414,182,410,0.444,26,92,0.283,114,154,0.74
Vashon Weaver,Male,76,3308,1746,455,188,643,376,120,39,10,256,108,399,655,1584,0.414,581,1269,0.458,74,315,0.235,386,578,0.668
Warren Estcourt,Male,1,45,3,8,0,8,7,0,0,0,3,0,2,12,32,0.375,2,9,0.222,10,23,0.435,5,6,0.833
Willie Weimer,Male,24,1011,407,104,43,147,91,28,5,0,85,0,108,152,396,0.384,99,235,0.421,53,161,0.329,50,77,0.649
