Name,Club Name,Competition Name,Equivalent Competition,Level,Gender,Season,Factor,GP,MIN,PTS,DR,OR,REB,AST,STL,BLK,BLKON,FOUL,FOULON,TO,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%
Shaun Bruce,Horsham,Division Two Men,Division 2 Men,Senior,Male,2009,0.833333333,23,42.48,27.48,5.17,1.83,7.0,4.7,1.48,0.57,0.39,3.22,4.61,3.13,10.78,24.91,0.433,9.3,19.13,0.486,1.48,5.78,0.256,4.43,6.22,0.712
Ivan Platenik,Waverley,SCM 2009,Championship Men,Senior,Male,2009,0.833333333,18,42.44,28.33,8.83,5.39,14.22,2.39,1.11,1.17,1.33,3.0,7.11,3.22,10.72,21.67,0.495,10.67,21.28,0.501,0.06,0.39,0.154,6.83,10.5,0.65
Luke Cooper,Eltham,YL1M 2006,Victorian Youth Championship Men,Youth,Male,2006,0.833333333,10,42.4,15.3,3.8,1.6,5.4,8.8,2.5,0.1,0.0,1.9,0.0,5.3,5.1,11.4,0.447,4.2,7.6,0.553,0.9,3.8,0.237,4.2,6.7,0.627
Cameron Bruce,Horsham,Division Two Men,Division 2 Men,Senior,Male,2009,0.833333333,23,42.39,13.52,3.09,0.78,3.87,5.04,3.0,0.13,0.35,2.52,4.22,3.13,5.0,10.65,0.469,4.09,7.43,0.55,0.91,3.22,0.283,2.61,5.43,0.481
Adam Dixon,Sherbrooke,Division One Men,Division 1 Men,Senior,Male,2006,0.833333333,21,42.38,26.81,4.71,2.43,7.14,3.52,1.9,1.19,0.0,2.71,0.0,3.19,9.62,18.86,0.51,8.86,16.14,0.549,0.76,2.71,0.28,6.81,8.9,0.765
Tim Pickert,Horsham,Division Two Men,Division 2 Men,Senior,Male,2009,0.833333333,24,42.38,22.29,2.96,1.67,4.62,3.21,1.54,0.21,0.5,2.67,4.75,3.17,7.46,18.33,0.407,4.88,10.12,0.482,2.58,8.21,0.314,4.79,6.38,0.751
Thomas Burns,McKinnon,VBL Division One Men Championship,Division 2 Men,Senior,Male,2004,0.833333333,21,42.33,24.38,4.81,1.43,6.24,5.05,2.1,0.38,0.0,2.52,0.0,4.14,8.48,20.29,0.418,7.52,16.95,0.444,0.95,3.33,0.285,8.38,10.9,0.769
James Tsun,Maccabi,D2M 2007,Division 2 Men,Senior,Male,2007,0.833333333,19,42.32,17.11,3.47,0.84,4.32,4.68,2.0,0.16,0.0,2.37,0.0,5.16,6.21,18.68,0.332,3.74,8.89,0.421,2.47,9.79,0.252,2.21,3.74,0.591
Tommy Walsh,Western Port,Division Three Men,Division 3 Men,Senior,Male,2008,0.833333333,23,42.3,18.48,3.09,2.13,5.22,2.17,1.3,0.22,0.48,2.83,2.13,2.43,7.0,18.57,0.377,4.39,10.39,0.423,2.61,8.17,0.319,1.87,2.83,0.661
Patrick Jennings,Bendigo,YL1M 2007,Victorian Youth Championship Men,Youth,Male,2007,0.833333333,10,42.3,12.5,3.9,1.5,5.4,2.9,1.6,0.1,0.0,2.6,0.0,2.8,4.1,12.5,0.328,2.5,5.4,0.463,1.6,7.1,0.225,2.7,4.5,0.6
John Morris,Warrnambool,SCM 2008,Championship Men,Senior,Male,2008,0.833333333,16,42.25,21.81,7.38,1.38,8.75,2.0,0.81,0.38,0.75,3.31,3.75,4.69,8.06,21.06,0.383,5.06,11.31,0.447,3.0,9.75,0.308,2.69,4.56,0.59
Amanda Fenwick,Echuca,VBL Division 1 - Women,Division 2 Women,Senior,Female,2002,0.833333333,19,42.16,10.95,7.47,3.42,10.89,2.32,3.16,1.0,0.0,2.95,0.0,3.16,4.74,12.74,0.372,4.68,12.58,0.372,0.05,0.16,0.312,1.53,4.47,0.342
Willie Weimer,Ringwood,SCM 2005,Championship Men,Senior,Male,2005,0.833333333,24,42.12,16.96,4.33,1.79,6.12,3.79,1.17,0.21,0.0,3.54,0.0,4.5,6.33,16.5,0.384,4.12,9.79,0.421,2.21,6.71,0.329,2.08,3.21,0.648
